;Total;Arroz_em_casca;Aveia_branca_emgrao;Milho_em_grao;Soja_em_grao;Trigo_em_grao;Forrageiras_para_corte;Cana_forrageira;Milho_forrageiro
Aceguá;39856;9088;-;1255;27298;-;-;-;983
Água Santa;22610;1;1491;1093;15932;1603;67;-;1005
Agudo;17335;8148;X;3233;1081;-;X;76;109
Ajuricaba;39954;X;3229;1366;20171;9252;1152;X;2880
Alecrim;8540;X;140;3044;2433;312;X;96;1693
Alegrete;104483;57902;201;1674;39664;2468;352;X;460
Alegria;13857;-;417;1700;6725;3884;89;24;811
Almirante Tamandaré do Sul;26680;X;1753;1139;16622;5752;26;-;615
Alpestre;7494;4;20;3925;742;37;8;13;589
Alto Alegre;8454;X;100;255;6337;1252;96;-;321
Alto Feliz;574;1;X;264;X;-;-;X;176
Alvorada;125;X;X;X;X;-;X;-;X
Amaral Ferrador;7352;151;X;1252;2268;X;X;-;192
Ametista do Sul;1591;2;10;975;238;-;-;-;161
André da Rocha;14288;-;578;1059;12076;413;-;-;66
Anta Gorda;5458;2;-;2748;362;X;39;X;1606
Antônio Prado;2000;-;-;1233;61;X;-;-;336
Arambaré;32547;21965;-;78;10356;-;X;-;35
Araricá;98;-;X;21;-;-;-;9;17
Aratiba;5465;1;-;3205;1028;138;-;X;1008
Arroio do Meio;4948;X;X;462;1084;112;88;5;3038
Arroio do Sal;109;-;-;30;-;-;7;9;6
Arroio do Padre;2460;-;-;631;552;-;-;-;216
Arroio dos Ratos;4259;-;-;104;3248;-;X;-;X
Arroio do Tigre;17269;1;114;3438;7279;816;21;2;448
Arroio Grande;86812;44718;-;1021;39827;858;X;X;41
Arvorezinha;4499;1;-;1494;1467;X;-;-;380
Augusto Pestana;33482;-;3047;708;19337;5425;53;1;2909
Áurea;8832;1;X;1654;5683;887;-;-;306
Bagé;65014;14132;X;348;49338;-;364;-;178
Balneário Pinhal;798;759;-;0;X;-;-;-;-
Barão;1774;1;-;661;-;-;105;X;818
Barão de Cotegipe;12166;X;X;4149;6414;989;-;-;512
Barão do Triunfo;6016;246;-;2007;433;X;-;X;22
Barracão;21442;-;841;1345;16082;2193;141;X;292
