;n_cabecas
Aceguá;4778
Água Santa;3763
Agudo;1800
Ajuricaba;6230
Alecrim;4226
Alegrete;3837
Alegria;2783
Almirante Tamandaré do Sul;2566
Alpestre;3671
Alto Alegre;1443
Alto Feliz;242
Alvorada;23
Amaral Ferrador;400
Ametista do Sul;750
André da Rocha;128
Anta Gorda;5961
Antônio Prado;1970
Arambaré;71
Araricá;45
Aratiba;4420
Arroio do Meio;4672
Arroio do Sal;56
Arroio do Padre;809
Arroio dos Ratos;55
Arroio do Tigre;2455
Arroio Grande;2083
Arvorezinha;1414
Augusto Pestana;8229
Áurea;1468
Bagé;1478
Balneário Pinhal;4
Barão;1597
Barão de Cotegipe;3899
Barão do Triunfo;200
Barracão;1460
Barra do Guarita;857
Barra do Quaraí;148
Barra do Ribeiro;181
Barra do Rio Azul;2373
Barra Funda;1255
Barros Cassal;1191
Benjamin Constant do Sul;908
Bento Gonçalves;285
Boa Vista das Missões;956
Boa Vista do Buricá;4882
Boa Vista do Cadeado;2256
Boa Vista do Incra;2161
Boa Vista do Sul;1567
Bom Jesus;2050
Bom Princípio;370
Bom Progresso;1115
Bom Retiro do Sul;1501
Boqueirão do Leão;1183
Bossoroca;732
Bozano;1495
Braga;992
Brochier;658
Butiá;290
Caçapava do Sul;1496
Cacequi;418
Cachoeira do Sul;2068
Cachoeirinha;X
Cacique Doble;2465
Caibaté;1490
Caiçara;3589
Camaquã;2139
Camargo;2495
Cambará do Sul;413
Campestre da Serra;386
Campina das Missões;7473
Campinas do Sul;1840
Campo Bom;80
Campo Novo;873
Campos Borges;1477
Candelária;2516
Cândido Godói;8403
Candiota;1662
Canela;148
Canguçu;9627
Canoas;36
Canudos do Vale;1772
Capão Bonito do Sul;1062
Capão da Canoa;26
Capão do Cipó;1034
Capão do Leão;1216
Capivari do Sul;17
Capela de Santana;144
Capitão;1308
Carazinho;1195
Caraá;564
Carlos Barbosa;3811
Carlos Gomes;1177
Casca;5614
Caseiros;1778
Catuípe;5805
Caxias do Sul;2862
Centenário;1713
