;Total;Bovinos;Bubalinos;Equinos;Caprinos;Ovinos;Suinos;Avestruzes
Aceguá;149373;93734;422;5043;124;22235;1624;-
Água Santa;2335840;8930;-;170;X;833;1362;-
Agudo;135737;15489;X;76;151;669;11227;-
Ajuricaba;52953;13621;-;72;60;746;5252;-
Alecrim;109495;29801;X;513;X;1622;9721;X
Alegrete;830074;576727;2651;17259;102;185436;3098;-
Alegria;47150;7978;-;40;38;256;7021;-
Almirante Tamandaré do Sul;47647;5773;-;100;15;358;3588;-
Alpestre;177353;25364;X;145;78;522;10655;X
Alto Alegre;12187;3868;-;21;X;220;3529;-
Alto Feliz;1011683;1925;-;4;X;88;2041;-
Alvorada;2056;1457;X;40;X;X;102;-
Amaral Ferrador;55694;15850;X;1493;385;2136;3666;-
Ametista do Sul;37419;4921;-;37;27;508;9111;-
André da Rocha;56210;11936;X;387;X;2526;24824;-
Anta Gorda;414809;11869;-;70;47;1397;68402;-
Antônio Prado;729284;14228;-;104;X;1238;6966;X
Arambaré;16979;11261;-;777;21;1399;209;-
Araricá;5183;680;X;21;X;122;100;-
Aratiba;818329;27720;-;143;-;1027;100665;-
Arroio do Meio;1361315;12104;X;140;41;1081;80442;-
Arroio do Sal;5073;2287;-;124;X;215;101;-
Arroio do Padre;19144;2969;-;323;54;129;825;-
Arroio dos Ratos;19347;12030;205;319;199;1851;378;X
Arroio do Tigre;114570;11318;-;232;196;844;11096;-
Arroio Grande;136848;93480;528;1991;290;24834;2543;-
Arvorezinha;913293;5359;-;136;65;759;15535;-
Augusto Pestana;51465;22830;-;325;X;973;4378;-
Áurea;188572;3915;-;X;X;80;2124;-
Bagé;353434;243055;573;10644;6253;75197;1416;-
Balneário Pinhal;3389;2676;X;88;-;166;16;-
Barão;1801913;5066;X;53;451;519;15305;-
Barão de Cotegipe;703377;13984;-;70;11;1001;30769;-
Barão do Triunfo;59038;6268;X;575;706;3512;5143;-
Barracão;44944;23755;X;666;43;1409;2026;-
Barra do Guarita;76432;3215;-;58;X;170;13406;-
Barra do Quaraí;69245;54098;-;2711;-;12002;28;-
Barra do Ribeiro;36341;19569;85;1629;183;2155;747;X
Barra do Rio Azul;617597;14475;-;89;X;460;26995;-
Barra Funda;23567;2745;-;17;47;370;13879;-
Barros Cassal;89722;18121;X;456;341;1622;8509;-
Benjamin Constant do Sul;22141;4588;-;37;X;106;2327;-
Bento Gonçalves;275320;1743;-;42;49;1537;1065;-
Boa Vista das Missões;12803;2980;X;79;X;811;1351;-
Boa Vista do Buricá;95228;11226;-;37;33;203;64751;-
Boa Vista do Cadeado;31037;12242;15;462;19;3306;1980;-
Boa Vista do Incra;18518;7516;X;124;X;1364;1368;-
Boa Vista do Sul;3326833;5096;X;334;35;779;1812;-
Bom Jesus;116803;94151;128;2903;23;5688;1232;-
Bom Princípio;1581805;4096;X;56;27;385;10268;X
Bom Progresso;18913;2456;-;23;42;172;7245;X
Bom Retiro do Sul;444259;7211;X;219;31;433;14634;-
Boqueirão do Leão;331640;7922;X;271;288;682;11050;-
Bossoroca;193158;106617;712;2149;111;45918;6053;X
Bozano;17611;5057;X;81;X;353;2334;-
Braga;119812;2453;X;14;39;165;2790;-
Brochier;779404;3045;-;51;51;248;15988;-
Butiá;35735;19154;342;795;133;4996;1061;X
Caçapava do Sul;296571;178911;296;5639;3619;53588;3645;-
Cacequi;163098;138008;169;2959;-;14585;990;-
Cachoeira do Sul;251848;137237;369;4750;172;33006;4893;X
Cachoeirinha;204;130;X;X;-;X;-;-
Cacique Doble;118396;7665;-;74;X;603;5466;X
Caibaté;33950;11621;X;307;-;1395;1608;-
Caiçara;75026;15369;-;34;43;227;19413;-
Camaquã;187027;46971;391;3950;413;4175;11107;X
Camargo;1558904;6805;-;89;X;663;34668;-
Cambará do Sul;34776;27057;143;833;39;1930;391;-
Campestre da Serra;149217;10132;X;353;X;1230;766;-
Campina das Missões;85696;20743;X;90;X;267;30281;-
Campinas do Sul;94939;5776;-;32;X;559;21106;-
Campo Bom;4427;1147;18;140;57;76;161;-
Campo Novo;109155;3294;-;32;X;325;11807;-
Campos Borges;22194;8344;-;177;X;1196;1614;-
Candelária;178830;32042;X;784;256;2477;14426;-
Cândido Godói;92871;22336;X;326;X;553;28915;-
Candiota;63418;35451;X;1716;156;8541;2189;-
Canela;255892;1114;-;467;98;800;645;-
Canguçu;473978;120293;132;7331;2832;31222;32061;X
Canoas;885;366;-;28;X;57;X;-
Canudos do Vale;979008;4938;-;62;22;83;26163;-
