;Total;Bovinos;Bubalinos;Equinos;Caprinos;Ovinos;Suinos;Avestruzes
Aceguá;765;683;4;305;7;252;221;0
Água Santa;422;360;0;35;2;47;202;0
Agudo;1939;1618;1;48;27;56;1640;0
Ajuricaba;634;557;0;43;10;46;463;0
Alecrim;1325;1269;2;117;10;70;901;1
Alegrete;2517;2338;37;1812;12;1341;518;0
Alegria;654;583;0;28;6;17;495;0
Almirante Tamandaré do Sul;299;263;0;22;3;22;193;0
Alpestre;1343;1182;2;64;13;28;1093;2
Alto Alegre;261;220;0;13;1;17;157;0
Alto Feliz;288;177;0;4;2;9;176;0
Alvorada;19;15;2;7;1;2;5;0
Amaral Ferrador;955;476;2;679;27;53;565;0
Ametista do Sul;592;470;0;26;4;26;478;0
André da Rocha;179;167;1;99;2;48;38;0
Anta Gorda;741;626;0;35;9;86;456;0
Antônio Prado;832;678;0;62;2;78;370;1
Arambaré;101;90;0;65;4;29;29;0
Araricá;46;41;1;11;1;4;21;0
Aratiba;786;727;0;82;0;73;323;0
Arroio do Meio;751;666;1;50;10;76;465;0
Arroio do Sal;61;52;0;30;4;11;17;0
Arroio do Padre;364;324;0;196;7;13;205;0
Arroio dos Ratos;276;197;4;92;13;69;49;1
Arroio do Tigre;1746;1424;0;166;38;77;1477;0
Arroio Grande;774;682;7;527;29;311;227;0
Arvorezinha;792;562;0;87;9;49;573;0
Augusto Pestana;822;779;0;106;1;87;541;0
Áurea;456;332;0;6;6;9;342;0
Bagé;1039;956;8;633;91;594;193;0
Balneário Pinhal;13;12;1;10;0;7;5;0
Barão;579;398;1;22;9;59;333;0
Barão de Cotegipe;646;566;0;41;3;48;390;0
Barão do Triunfo;1569;871;1;336;71;200;1104;0
Barracão;826;715;3;279;7;99;381;0
Barra do Guarita;204;193;0;9;2;3;177;0
Barra do Quaraí;122;113;0;97;0;76;4;0
Barra do Ribeiro;384;317;3;214;17;83;169;1
Barra do Rio Azul;404;374;0;50;3;30;182;0
Barra Funda;188;168;0;9;5;29;138;0
Barros Cassal;1532;1246;1;215;47;90;1189;0
Benjamin Constant do Sul;363;268;0;23;1;7;276;0
Bento Gonçalves;714;320;0;19;6;56;294;0
Boa Vista das Missões;189;144;2;31;2;43;124;0
Boa Vista do Buricá;493;449;0;17;9;25;369;0
Boa Vista do Cadeado;433;385;3;140;4;132;292;0
Boa Vista do Incra;275;250;1;42;2;40;203;0
Boa Vista do Sul;561;421;1;21;10;68;386;0
Bom Jesus;809;775;5;558;4;191;195;0
Bom Princípio;464;320;1;20;4;35;193;1
Bom Progresso;195;166;0;14;9;14;172;1
Bom Retiro do Sul;295;270;1;39;7;25;116;0
Boqueirão do Leão;1165;848;1;135;46;50;887;0
Bossoroca;888;842;15;401;8;369;455;3
Bozano;291;264;2;25;6;39;225;0
Braga;301;225;1;12;5;12;256;0
Brochier;522;399;0;33;9;24;319;0
Butiá;289;224;5;181;11;132;126;2
Caçapava do Sul;2468;2116;9;1260;83;1004;765;0
Cacequi;386;374;8;327;0;189;118;0
Cachoeira do Sul;2421;1864;10;1090;21;650;1088;1
Cachoeirinha;4;4;1;1;0;2;0;0
Cacique Doble;739;514;0;51;3;46;469;1
Caibaté;498;419;4;79;0;63;327;0
Caiçara;877;784;0;18;7;13;703;0
Camaquã;2434;1759;6;1392;82;157;1632;1
Camargo;359;304;0;46;12;48;182;0
Cambará do Sul;296;278;4;178;4;67;61;0
Campestre da Serra;427;288;1;91;2;52;154;0
Campina das Missões;1034;966;1;57;6;33;683;0
Campinas do Sul;262;243;0;11;1;33;156;0
Campo Bom;83;55;4;24;7;9;35;0
Campo Novo;217;158;0;19;2;17;160;0
Campos Borges;408;329;0;75;2;59;256;0
Candelária;3318;2601;1;362;54;139;2575;0
Cândido Godói;1223;1120;1;109;16;69;862;0
Candiota;525;472;1;285;8;167;316;0
Canela;185;107;0;46;8;49;76;0
Canguçu;7591;6332;5;3710;324;1150;4632;1
Canoas;14;11;0;4;1;4;4;0
Canudos do Vale;397;376;0;37;4;14;324;0
Capão Bonito do Sul;322;279;0;142;3;111;165;0
Capão da Canoa;24;20;0;18;1;10;7;0
Capão do Cipó;495;432;1;136;11;188;361;0
Capão do Leão;179;166;2;119;7;59;64;0
Capivari do Sul;66;63;2;47;0;30;10;0
Capela de Santana;275;244;4;36;3;37;66;0
Capitão;306;262;0;15;9;19;222;0
Carazinho;240;208;0;73;7;72;119;0
Caraá;1180;899;0;233;34;38;474;0
Carlos Barbosa;983;611;0;65;13;102;580;0
Carlos Gomes;284;249;0;9;1;10;204;0
Casca;590;530;0;18;12;50;234;1
Caseiros;298;272;0;74;1;50;156;0
Catuípe;720;667;0;116;12;69;556;1
Caxias do Sul;2053;1365;5;325;19;319;819;1
Centenário;481;398;0;1;9;12;314;0
Cerrito;629;590;1;185;6;88;238;0
Cerro Branco;679;511;0;24;7;19;547;0
Cerro Grande;292;262;0;6;2;9;253;0
Cerro Grande do Sul;1201;664;0;377;33;40;740;0
Cerro Largo;714;640;0;68;3;45;441;0
Chapada;891;779;1;50;16;64;414;4
Charqueadas;90;74;3;14;3;26;31;0
Charrua;333;274;0;13;3;20;174;0
Chiapetta;308;279;0;35;7;40;226;0
Chuí;76;66;0;45;0;27;4;0
Chuvisca;958;639;0;666;42;18;658;0
Cidreira;53;50;1;46;3;34;15;1
Ciríaco;465;372;0;32;9;65;272;0
Colinas;308;259;0;23;10;36;200;0
Colorado;296;275;0;25;2;31;173;0
Condor;437;412;0;47;15;53;310;0
Constantina;645;528;0;32;24;50;525;0
Coqueiro Baixo;291;255;0;25;5;53;182;0
Coqueiros do Sul;362;333;0;26;9;24;264;0
Coronel Barros;348;306;0;48;3;53;198;0
Coronel Bicaco;517;391;0;51;1;41;402;0
Coronel Pilar;368;277;0;5;7;9;238;0
Cotiporã;429;349;1;12;15;26;226;0
Coxilha;197;157;0;19;2;35;74;0
Crissiumal;1546;1418;0;63;20;32;1278;0
Cristal;528;393;0;271;12;63;279;0
Cristal do Sul;395;321;0;11;7;14;337;0
Cruz Alta;440;368;2;91;6;142;241;0
Cruzaltense;369;324;0;32;1;14;234;0
Cruzeiro do Sul;937;761;3;126;17;70;622;1
David Canabarro;439;387;0;24;6;12;155;0
Derrubadas;478;449;0;21;8;13;398;0
Dezesseis de Novembro;761;686;2;124;5;124;466;0
Dilermando de Aguiar;451;411;3;215;1;183;215;0
Dois Irmãos;165;110;0;32;2;25;65;0
Dois Irmãos das Missões;193;167;1;41;9;32;145;0
Dois Lajeados;365;318;0;5;1;33;225;0
Dom Feliciano;2548;1425;4;1630;107;305;1684;1
Dom Pedro de Alcântara;106;93;0;9;2;0;9;0
Dom Pedrito;997;952;3;674;4;606;155;0
Dona Francisca;299;270;0;22;2;13;206;0
Doutor Maurício Cardoso;525;475;2;9;2;27;430;0
Doutor Ricardo;318;243;0;15;5;30;212;0
Eldorado do Sul;151;110;2;59;9;28;51;0
Encantado;480;385;0;34;9;56;287;0
Encruzilhada do Sul;1888;1592;11;1127;44;896;1052;0
Engenho Velho;120;90;0;8;1;21;97;0
Entre-Ijuís;822;705;0;138;3;92;523;0
Entre Rios do Sul;197;172;1;16;3;13;152;0
Erebango;214;143;0;22;3;18;107;0
Erechim;754;616;0;72;10;88;409;0
Ernestina;319;295;0;55;8;68;186;0
Herval;1102;978;2;777;32;673;304;0
Erval Grande;601;569;1;100;12;29;455;0
Erval Seco;1108;879;1;99;11;46;847;0
Esmeralda;328;308;2;128;4;80;134;0
Esperança do Sul;522;487;0;19;18;6;457;0
Espumoso;920;717;2;186;13;156;543;0
Estação;183;161;0;14;4;26;88;0
Estância Velha;72;57;0;9;1;8;26;0
Estrela;821;712;3;69;26;94;455;1
Estrela Velha;620;486;0;41;8;37;523;0
Eugênio de Castro;318;286;3;97;5;51;207;0
Fagundes Varela;290;262;1;32;7;19;180;0
Farroupilha;878;589;0;43;8;96;519;0
Faxinal do Soturno;460;388;0;32;4;30;354;1
Faxinalzinho;234;212;0;52;7;27;162;0
Fazenda Vilanova;229;197;0;37;6;32;125;0
Feliz;368;278;1;10;3;15;178;0
Flores da Cunha;574;335;0;12;6;36;146;0
Floriano Peixoto;395;311;0;15;4;8;288;0
Fontoura Xavier;1468;999;2;374;96;109;1075;0
Formigueiro;786;671;2;161;2;60;352;0
Forquetinha;560;541;1;45;14;29;445;0
Fortaleza dos Valos;341;310;1;54;3;66;252;0
Frederico Westphalen;907;798;0;22;15;49;706;0
Garibaldi;552;357;0;31;9;73;286;0
Garruchos;552;496;3;296;3;182;259;0
