;Total;Arroz_em_casca;Aveia_branca_emgrao;Milho_em_grao;Soja_em_grao;Trigo_em_grao;Forrageiras_para_corte;Cana_forrageira;Milho_forrageiro
Aceguá;422;46;0;126;117;0;0;0;98
Água Santa;1206;3;56;165;460;54;9;0;158
Agudo;6198;315;2;1613;56;0;1;145;28
Ajuricaba;3802;2;249;289;650;343;81;1;250
Alecrim;7444;1;15;1056;258;21;2;332;435
Alegrete;852;258;4;153;93;8;5;2;27
Alegria;4058;0;45;450;340;156;69;115;182
Almirante Tamandaré do Sul;1821;1;69;149;358;113;9;0;66
Alpestre;4949;30;6;1195;56;6;4;27;177
Alto Alegre;749;1;13;77;318;46;14;0;73
Alto Feliz;816;5;1;238;1;0;0;2;73
Alvorada;22;1;1;2;1;0;1;0;1
Amaral Ferrador;3511;9;1;686;14;1;1;0;22
Ametista do Sul;1757;11;8;472;18;0;0;0;39
André da Rocha;168;0;5;49;103;4;0;0;4
Anta Gorda;2830;16;0;615;29;2;6;1;255
Antônio Prado;1686;0;0;525;6;1;0;0;107
Arambaré;218;100;0;9;60;0;1;0;5
Araricá;121;0;1;19;0;0;0;10;15
Aratiba;2264;7;0;639;93;19;0;1;234
Arroio do Meio;1595;2;1;140;93;12;43;8;499
Arroio do Sal;126;0;0;26;0;0;5;13;5
Arroio do Padre;818;0;0;268;18;0;0;0;73
Arroio dos Ratos;252;0;0;38;24;0;1;0;1
Arroio do Tigre;12324;8;11;1633;524;54;48;32;413
Arroio Grande;569;153;0;118;145;5;1;1;3
Arvorezinha;1933;4;0;617;83;1;0;0;149
Augusto Pestana;3850;0;265;251;705;202;17;8;389
Áurea;1251;4;2;420;439;48;0;0;72
Bagé;435;69;1;88;138;0;3;0;29
Balneário Pinhal;21;4;0;3;1;0;0;0;0
Barão;1414;9;0;363;0;0;13;2;262
Barão de Cotegipe;1406;1;1;620;538;71;0;0;117
Barão do Triunfo;3369;31;0;1088;18;1;0;1;6
Barracão;1262;0;20;299;527;35;4;1;80
Barra do Guarita;612;0;0;124;53;12;0;0;82
Barra do Quaraí;59;52;0;0;1;0;0;0;1
Barra do Ribeiro;419;96;1;75;23;0;0;0;4
Barra do Rio Azul;420;0;0;338;44;5;0;0;7
Barra Funda;1292;0;28;108;183;73;0;0;87
Barros Cassal;3869;1;0;1312;104;1;0;0;110
Benjamin Constant do Sul;1374;1;1;325;104;11;0;0;17
Bento Gonçalves;1655;0;1;475;1;0;4;14;17
Boa Vista das Missões;546;6;22;130;131;64;1;0;22
Boa Vista do Buricá;2834;1;11;323;186;64;47;5;269
Boa Vista do Cadeado;1297;2;72;141;353;83;12;6;67
Boa Vista do Incra;599;1;30;91;266;47;0;0;112
Boa Vista do Sul;1110;2;0;301;1;0;2;0;275
Bom Jesus;471;0;1;238;40;4;0;0;24
Bom Princípio;1172;1;1;253;2;0;55;16;206
Bom Progresso;802;1;11;161;94;43;0;1;46
Bom Retiro do Sul;580;2;3;67;16;0;0;26;191
Boqueirão do Leão;3953;8;0;933;7;0;0;1;246
Bossoroca;1831;0;80;326;379;67;12;3;7
Bozano;1254;0;158;80;327;168;3;0;62
Braga;1347;2;12;264;234;118;3;2;33
Brochier;1410;4;3;342;3;0;0;2;153
Butiá;250;5;0;50;55;0;0;0;3
Caçapava do Sul;2576;31;7;585;162;2;1;8;16
Cacequi;362;79;3;32;86;2;0;1;4
Cachoeira do Sul;4270;250;23;768;518;30;7;99;96
Cachoeirinha;6;0;0;0;0;0;0;0;3
Cacique Doble;1762;0;25;428;700;50;2;0;170
Caibaté;1940;2;42;330;206;102;1;8;41
Caiçara;2983;6;2;765;118;15;2;7;168
Camaquã;8652;198;1;1813;163;0;2;2;80
Camargo;870;0;44;205;329;33;45;0;159
Cambará do Sul;173;0;0;91;7;0;0;0;12
Campestre da Serra;950;0;3;255;42;4;26;0;5
Campina das Missões;5607;0;15;553;331;79;94;27;459
Campinas do Sul;838;0;57;210;307;121;0;0;44
Campo Bom;256;0;11;36;0;0;0;14;16
Campo Novo;849;0;24;195;191;112;4;2;15
Campos Borges;898;1;48;124;273;50;16;0;62
Candelária;12307;176;4;2730;374;7;1;111;631
Cândido Godói;7032;0;119;535;623;299;28;21;671
Candiota;618;8;3;249;126;0;7;0;18
Canela;487;2;0;132;1;1;0;3;9
Canguçu;19261;22;16;6081;1033;4;96;14;277
Canoas;19;4;0;3;1;0;0;1;2
Canudos do Vale;1424;3;0;244;0;0;0;32;301
Capão Bonito do Sul;687;0;17;164;176;20;3;0;50
Capão da Canoa;19;1;0;2;0;0;0;1;1
Capão do Cipó;1341;0;44;194;294;18;0;3;39
Capão do Leão;163;20;2;54;44;1;1;0;24
Capivari do Sul;94;57;0;5;17;0;0;0;5
Capela de Santana;509;33;0;36;0;0;10;66;82
Capitão;508;0;0;67;0;0;0;1;202
Carazinho;993;0;62;99;274;59;4;0;24
Caraá;3605;15;1;622;2;0;6;37;414
Carlos Barbosa;2715;13;1;642;1;0;17;1;379
Carlos Gomes;1337;1;4;274;200;41;0;0;88
Casca;1301;1;13;417;419;40;0;0;320
Caseiros;961;1;28;160;202;19;1;0;101
Catuípe;4309;1;259;428;641;209;24;14;255
Caxias do Sul;3200;2;8;1246;6;0;6;1;171
Centenário;1489;1;5;457;339;59;2;0;22
Cerrito;889;3;0;328;54;0;3;0;147
Cerro Branco;2168;60;0;579;21;0;0;11;18
Cerro Grande;1075;1;2;237;63;44;0;0;80
Cerro Grande do Sul;4211;59;0;840;5;0;2;3;5
Cerro Largo;4211;0;10;480;261;105;42;46;184
Chapada;4394;5;189;505;990;218;14;0;280
Charqueadas;188;31;1;25;9;0;1;0;3
Charrua;959;0;35;268;403;36;0;0;82
Chiapetta;1593;0;73;161;313;147;63;7;118
Chuí;9;5;0;0;2;0;0;0;2
Chuvisca;4186;0;1;807;2;0;1;0;3
Cidreira;45;6;0;6;1;0;0;0;2
Ciríaco;1044;1;7;317;355;15;0;0;29
Colinas;957;1;2;83;62;5;0;14;222
Colorado;1302;0;145;78;391;160;0;0;46
Condor;1561;0;110;207;438;104;11;0;156
Constantina;4592;3;8;464;534;306;4;0;257
Coqueiro Baixo;848;11;0;171;2;0;1;1;162
Coqueiros do Sul;1697;0;50;242;352;38;7;0;98
Coronel Barros;1023;0;105;111;329;145;12;2;75
Coronel Bicaco;2316;2;120;423;546;343;8;0;61
Coronel Pilar;808;4;0;304;3;1;0;9;88
Cotiporã;1098;1;1;334;49;0;1;0;94
Coxilha;506;0;13;79;266;17;5;0;41
Crissiumal;11510;6;25;1236;519;133;199;287;635
Cristal;1215;37;0;317;76;0;1;0;21
Cristal do Sul;2526;8;4;368;177;23;1;2;80
Cruz Alta;1142;2;95;151;376;109;1;0;21
Cruzaltense;903;1;30;317;390;90;0;0;23
Cruzeiro do Sul;2663;10;4;422;186;31;2;5;450
David Canabarro;1946;0;22;417;407;6;3;0;215
Derrubadas;2065;7;1;426;252;116;0;6;165
Dezesseis de Novembro;2095;0;7;451;49;21;143;131;11
Dilermando de Aguiar;828;35;5;201;93;0;3;35;4
Dois Irmãos;655;1;5;114;0;0;0;28;97
Dois Irmãos das Missões;809;0;52;155;113;48;1;0;64
Dois Lajeados;1958;3;2;311;111;2;7;0;173
Dom Feliciano;8601;19;0;1994;19;0;0;0;6
Dom Pedro de Alcântara;73;4;0;7;0;0;0;22;0
Dom Pedrito;502;167;2;51;233;0;0;0;1
Dona Francisca;673;170;1;217;54;0;0;0;8
Doutor Maurício Cardoso;2751;1;16;572;526;142;0;1;144
Doutor Ricardo;972;6;1;283;24;1;1;0;62
Eldorado do Sul;398;164;0;50;10;0;1;0;4
Encantado;1286;4;0;226;32;1;7;53;239
Encruzilhada do Sul;3939;38;0;1170;176;10;10;0;57
Engenho Velho;961;1;11;94;92;47;0;0;60
Entre-Ijuís;2567;0;120;431;598;216;5;1;85
Entre Rios do Sul;657;3;25;166;168;25;0;0;54
Erebango;704;0;57;152;256;62;1;0;51
Erechim;1473;0;13;594;612;60;0;0;71
Ernestina;1018;0;308;76;382;53;0;0;29
Herval;600;6;6;277;46;0;0;0;6
Erval Grande;1476;21;8;422;111;13;0;0;150
Erval Seco;4052;13;51;915;382;102;89;10;174
Esmeralda;398;0;12;129;150;12;0;0;4
Esperança do Sul;2486;4;5;428;198;65;43;55;138
Espumoso;2700;0;136;358;867;187;10;0;67
Estação;478;0;16;95;186;31;0;0;70
Estância Velha;114;0;0;16;0;0;3;1;37
Esteio;1;1;0;0;0;0;0;0;0
Estrela;1942;0;2;266;121;21;61;53;517
Estrela Velha;3448;1;59;514;312;30;2;2;100
Eugênio de Castro;1096;2;100;189;281;94;7;8;77
Fagundes Varela;424;0;0;260;77;1;1;0;53
Farroupilha;1026;1;1;587;0;0;0;0;139
Faxinal do Soturno;965;143;1;295;192;2;0;0;23
Faxinalzinho;1095;4;50;190;156;19;0;0;40
Fazenda Vilanova;402;0;0;63;24;5;0;7;126
Feliz;947;6;0;262;2;0;22;1;179
Flores da Cunha;553;0;0;316;1;0;0;0;12
Floriano Peixoto;910;1;0;367;385;14;1;0;45
Fontoura Xavier;3759;8;4;1266;69;2;1;0;56
Formigueiro;1067;206;0;263;129;1;0;65;2
Forquetinha;1798;1;1;139;46;1;0;4;465
Fortaleza dos Valos;991;0;122;152;302;119;1;0;53
Frederico Westphalen;2343;12;5;708;296;59;3;6;300
Garibaldi;818;0;1;368;0;1;2;1;67
