;n_estabelecimentos
Aceguá;261
Água Santa;246
Agudo;864
Ajuricaba;380
Alecrim;664
Alegrete;441
Alegria;442
Almirante Tamandaré do Sul;183
Alpestre;793
Alto Alegre;136
Alto Feliz;80
Alvorada;7
Amaral Ferrador;217
Ametista do Sul;238
André da Rocha;36
Anta Gorda;414
Antônio Prado;278
Arambaré;32
Araricá;21
Aratiba;427
Arroio do Meio;371
Arroio do Sal;33
Arroio do Padre;150
Arroio dos Ratos;12
Arroio do Tigre;949
Arroio Grande;276
Arvorezinha;347
Augusto Pestana;429
Áurea;196
Bagé;278
Balneário Pinhal;3
Barão;175
Barão de Cotegipe;337
Barão do Triunfo;121
Barracão;340
Barra do Guarita;135
Barra do Quaraí;14
Barra do Ribeiro;71
Barra do Rio Azul;158
Barra Funda;121
Barros Cassal;468
Benjamin Constant do Sul;144
Bento Gonçalves;137
Boa Vista das Missões;58
Boa Vista do Buricá;344
Boa Vista do Cadeado;233
Boa Vista do Incra;170
Boa Vista do Sul;246
Bom Jesus;271
Bom Princípio;92
Bom Progresso;121
Bom Retiro do Sul;114
Boqueirão do Leão;423
Bossoroca;143
Bozano;167
Braga;155
Brochier;115
Butiá;31
Caçapava do Sul;688
Cacequi;95
Cachoeira do Sul;864
Cachoeirinha;1
Cacique Doble;290
Caibaté;227
Caiçara;447
Camaquã;1149
Camargo;214
Cambará do Sul;94
Campestre da Serra;110
Campina das Missões;595
Campinas do Sul;178
Campo Bom;25
Campo Novo;111
Campos Borges;142
Candelária;1299
Cândido Godói;723
Candiota;241
Canela;63
Canguçu;3525
Canoas;7
Canudos do Vale;237
Capão Bonito do Sul;182
Capão da Canoa;11
Capão do Cipó;123
Capão do Leão;65
Capivari do Sul;11
Capela de Santana;35
Capitão;152
Carazinho;124
Caraá;374
Carlos Barbosa;300
Carlos Gomes;175
Casca;424
Caseiros;179
Catuípe;487
Caxias do Sul;614
Centenário;263
Cerrito;254
Cerro Branco;221
Cerro Grande;200
Cerro Grande do Sul;284
Cerro Largo;389
Chapada;593
Charqueadas;29
Charrua;209
Chiapetta;167
Chuí;2
Chuvisca;396
Cidreira;6
Ciríaco;210
Colinas;155
Colorado;175
Condor;278
Constantina;430
Coqueiro Baixo;166
Coqueiros do Sul;221
Coronel Barros;136
Coronel Bicaco;237
Coronel Pilar;164
Cotiporã;206
Coxilha;87
Crissiumal;1091
