;Total;Arroz_em_casca;Aveia_branca_emgrao;Milho_em_grao;Soja_em_grao;Trigo_em_grao;Forrageiras_para_corte;Cana_forrageira;Milho_forrageiro
Aceguá;189808;72057;-;4192;80336;-;-;-;28699
Água Santa;127931;7;3270;9799;60784;5700;955;-;43945
Agudo;96891;61126;X;13665;3493;-;X;870;2444
Ajuricaba;222836;X;7543;9306;73602;29703;10646;X;88540
Alecrim;75977;X;88;15785;7220;641;X;2042;36462
Alegrete;643202;483574;407;11483;124531;4903;4183;X;9191
Alegria;74328;-;653;11913;21292;11009;341;2014;23616
Almirante Tamandaré do Sul;119179;X;3230;9156;65463;16407;487;-;22925
Alpestre;48985;9;40;18945;1817;100;68;437;18103
Alto Alegre;39260;X;182;1609;22536;3910;938;-;9570
Alto Feliz;4655;1;X;1025;X;-;-;X;2785
Alvorada;781;X;X;X;X;-;X;-;X
Amaral Ferrador;21026;898;X;3084;6042;X;X;-;4075
Ametista do Sul;11012;2;28;4096;586;-;-;-;4632
André da Rocha;57739;-;753;8411;43325;1621;-;-;2930
Anta Gorda;93435;3;-;20806;1308;X;493;X;68800
Antônio Prado;22683;-;-;7006;175;X;-;-;11545
Arambaré;238652;206992;-;318;30408;-;X;-;705
Araricá;869;-;X;80;-;-;-;121;374
Aratiba;64178;5;-;24003;3789;368;-;X;34577
Arroio do Meio;118317;X;X;2658;3647;240;1213;192;107024
Arroio do Sal;977;-;-;79;-;-;55;93;160
Arroio do Padre;12009;-;-;2203;1595;-;-;-;5658
Arroio dos Ratos;24058;-;-;297;9677;-;X;-;X
Arroio do Tigre;64512;2;86;15182;25872;1807;229;57;8547
Arroio Grande;512791;377829;-;4221;125421;2166;X;X;801
Arvorezinha;30097;1;-;9217;4777;X;-;-;13665
Augusto Pestana;188947;-;5013;4323;59953;11107;1878;29;84972
Áurea;47161;3;X;12281;20112;2279;-;-;11600
Bagé;269057;113238;X;1538;148832;-;450;-;2442
Balneário Pinhal;5150;5036;-;1;X;-;-;-;-
Barão;36152;2;-;3778;-;-;709;X;30173
Barão de Cotegipe;81353;X;X;34402;22908;3447;-;-;20139
Barão do Triunfo;18242;1220;-;6732;1347;X;-;X;454
Barracão;85897;-;1269;10612;57724;5703;868;X;8352
Barra do Guarita;22220;-;-;6504;2562;708;-;-;9960
Barra do Quaraí;184365;178914;-;-;X;-;-;-;X
Barra do Ribeiro;106557;86011;X;1511;12939;-;-;-;362
Barra do Rio Azul;18002;-;-;15117;1532;122;-;-;1136
Barra Funda;32204;-;315;5067;11379;3953;-;-;11325
Barros Cassal;41430;X;-;7743;22983;X;-;-;3797
Benjamin Constant do Sul;16742;X;X;8959;3884;797;-;-;2348
Bento Gonçalves;3920;-;X;1188;X;-;16;77;338
Boa Vista das Missões;93009;10;1191;30088;42285;8810;X;-;7395
Boa Vista do Buricá;79247;X;76;9490;7291;2955;821;54;55491
Boa Vista do Cadeado;202993;X;7913;15816;137970;17014;413;108;10523
Boa Vista do Incra;146241;X;1914;10341;114869;8096;-;-;10421
Boa Vista do Sul;25833;X;-;2929;X;-;X;-;21249
Bom Jesus;193007;-;X;42209;32166;1042;-;-;4941
Bom Princípio;16678;X;X;910;X;-;843;492;12453
Bom Progresso;37064;X;399;15042;10703;4469;-;X;5486
Bom Retiro do Sul;33472;X;206;1140;665;-;-;220;29749
Boqueirão do Leão;24834;2;-;6229;1237;-;-;X;10725
Bossoroca;175426;-;8346;16214;130235;15656;757;13;902
Bozano;73230;-;5107;4076;42391;13251;X;-;6632
Braga;52595;X;207;11273;23820;10089;47;X;6525
Brochier;10726;0;5;1106;9;-;-;X;7718
Butiá;51416;6295;-;1430;32598;-;-;-;875
Caçapava do Sul;115619;17356;808;2721;90896;X;X;34;340
Cacequi;204743;108130;310;1082;90735;X;-;X;911
Cachoeira do Sul;557515;189473;2506;24090;296988;17614;231;755;11698
Cachoeirinha;289;-;-;-;-;-;-;-;162
Cacique Doble;70350;-;405;11833;31301;3535;X;-;21708
Caibaté;77735;X;1433;14089;39664;15981;X;55;3727
Caiçara;57821;5;X;21214;5951;490;X;8;24418
Camaquã;309050;225235;X;13146;47950;-;X;X;5416
Camargo;59066;-;665;5392;21028;1287;3608;-;26440
Cambará do Sul;6570;-;-;1225;2402;-;-;-;1678
Campestre da Serra;51701;-;X;14809;28149;X;699;-;2994
Campina das Missões;139079;-;113;12462;15596;5402;4952;244;94452
Campinas do Sul;94752;-;1690;20293;52459;13002;-;-;5239
Campo Bom;1074;-;12;81;-;-;-;90;707
Campo Novo;99050;-;4317;32908;39721;15414;145;X;5387
Campos Borges;52014;X;814;1417;33859;6155;2397;-;6782
Candelária;152220;36863;56;22400;52266;397;X;373;17018
Cândido Godói;182606;-;1288;11520;26814;14967;609;72;120970
Candiota;61739;8458;277;2593;48488;-;248;-;773
Canela;2451;X;-;656;X;X;-;51;965
Canguçu;236550;6076;297;50668;108971;586;2312;46;40444
Canoas;4488;X;-;3;X;-;-;X;X
Canudos do Vale;35547;1;-;1377;-;-;-;325;32068
Capão Bonito do Sul;146249;-;2671;30513;90493;7727;307;-;10257
Capão da Canoa;1376;X;-;X;-;-;-;X;X
Capão do Cipó;201643;-;5896;6276;174767;9842;-;X;4045
Capão do Leão;112343;67706;X;730;29181;X;X;-;14626
Capivari do Sul;107565;98239;-;16;6777;-;-;-;1466
Capela de Santana;21027;13206;-;72;-;-;86;773;4127
Capitão;28451;-;-;317;-;-;-;X;27547
Carazinho;258556;-;6064;42770;172005;14360;1783;-;15010
Caraá;44157;1970;X;1183;X;-;27;2063;10011
Carlos Barbosa;70187;1;X;4749;X;-;1268;X;62499
Carlos Gomes;32449;X;37;9870;8925;2879;-;-;10037
Casca;145453;X;256;26390;33776;2476;-;-;81263
Caseiros;62382;X;1012;6883;29997;2042;X;-;12468
Catuípe;231168;X;6335;34980;119275;24556;735;62;40696
Caxias do Sul;32342;X;12;11916;1292;-;184;X;13185
Centenário;43698;X;379;17757;16891;3550;X;-;3386
Cerrito;37250;914;-;3152;17254;-;12;-;15601
Cerro Branco;15723;6357;-;3485;1514;-;-;82;404
Cerro Grande;28015;X;X;8230;6715;3700;-;-;8704
Cerro Grande do Sul;14511;2633;-;3903;432;-;X;101;13
Cerro Largo;74209;-;154;14816;14987;8662;859;233;29150
Chapada;266975;1;5198;53178;153829;20000;1209;-;29440
Charqueadas;42498;29635;X;546;5334;-;X;-;4960
Charrua;57958;-;705;12756;30736;2196;-;-;10312
Chiapetta;188990;-;4994;27869;89983;18852;11257;8;28845
Chuí;19116;16124;-;-;X;-;-;-;X
Chuvisca;11813;-;X;5077;X;-;X;-;3
Cidreira;14331;13331;-;151;X;-;-;-;X
Ciríaco;65942;X;728;8568;46482;5195;-;-;3991
Colinas;41431;X;X;1616;2208;150;-;255;33677
Colorado;127544;-;3366;14615;81321;13937;-;-;9973
Condor;195679;-;5613;17583;109518;16575;2147;-;39849
Constantina;109869;X;226;17736;32079;14541;358;-;42400
Coqueiro Baixo;21894;2;-;1496;X;-;X;X;19764
Coqueiros do Sul;92347;-;882;13207;52527;3261;792;-;21166
Coronel Barros;61333;-;2435;4460;33017;8966;966;X;10741
Coronel Bicaco;221621;X;5224;59594;104405;42014;707;-;6011
Coronel Pilar;10223;1;-;3764;60;X;-;78;5477
Cotiporã;24600;X;X;6268;1672;-;X;-;14932
Coxilha;150219;-;1248;22888;92534;9299;160;-;12866
Crissiumal;187261;0;150;33612;23953;6265;331;1536;103437
Cristal;72008;35708;-;4408;20354;-;X;-;7512
Cristal do Sul;41060;5;43;18766;9145;2091;X;X;7590
Cruz Alta;501870;X;17601;65254;335237;36096;X;-;7089
Cruzaltense;48022;X;529;13666;26429;4914;-;-;2262
Cruzeiro do Sul;81268;3638;32;10859;8376;1456;X;17;49888
David Canabarro;71708;-;583;16104;23017;432;X;-;29329
Derrubadas;76990;1;X;24512;17250;7816;-;27;25344
Dezesseis de Novembro;25055;-;521;6308;6260;1850;4632;1220;670
Dilermando de Aguiar;85829;27357;198;859;54709;-;722;235;221
Dois Irmãos;7851;X;23;486;-;-;-;327;6143
Dois Irmãos das Missões;121004;-;2680;32097;46756;14540;X;-;21148
Dois Lajeados;53351;1;X;7488;4346;X;1043;-;35835
Dom Feliciano;34458;84;-;15011;2551;-;-;-;99
Dom Pedro de Alcântara;1054;318;-;14;-;-;-;544;-
Dom Pedrito;612992;339279;X;2045;269320;-;-;-;X
Dona Francisca;24618;18744;X;2763;1501;-;-;-;843
Doutor Maurício Cardoso;146236;X;253;76992;31885;11860;-;X;23419
Doutor Ricardo;12753;1;X;5501;777;X;X;-;4755
Eldorado do Sul;92354;75624;-;883;4425;-;X;-;8280
Encantado;23432;1;-;1333;1162;X;187;541;18575
Encruzilhada do Sul;145126;8740;-;10691;67618;5267;199;-;4901
Engenho Velho;26720;X;159;3285;11163;4249;-;-;6941
Entre-Ijuís;161860;-;3797;28342;84463;23713;20;X;8841
Entre Rios do Sul;31150;1;654;5699;14225;1874;-;-;8408
Erebango;71172;-;1562;12192;35352;7206;X;-;12762
Erechim;111739;-;392;34810;55877;6906;-;-;11481
Ernestina;67257;-;3959;3547;53429;3088;-;-;2394
Herval;64823;6809;44;7287;36956;-;-;-;5446
Erval Grande;38387;5;227;8494;8455;1112;-;-;18779
Erval Seco;133624;3;2332;42329;35511;9313;4346;101;33568
Esmeralda;128206;-;1727;35271;69282;6532;-;-;667
Esperança do Sul;41072;1;57;13343;10166;4764;185;152;9753
Espumoso;227303;-;7706;8495;161089;25552;2949;-;19424
Estação;45116;-;390;7561;19565;3076;-;-;12656
Estância Velha;2401;-;-;226;-;-;X;X;1651
Esteio;X;X;-;-;-;-;-;-;-
Estrela;177100;-;X;11055;5259;614;3711;573;151617
Estrela Velha;56795;X;1292;4469;38894;3627;X;X;3618
Eugênio de Castro;161648;X;12057;21289;80147;27682;3004;72;14935
Fagundes Varela;39467;-;-;11936;4555;X;X;-;22574
Farroupilha;20881;X;X;4964;-;-;-;-;15282
Faxinal do Soturno;26628;13413;X;3150;6251;X;-;-;2156
Faxinalzinho;33819;1;1402;9623;16066;1063;-;-;4559
Fazenda Vilanova;27802;-;-;4103;1836;235;-;62;20623
Feliz;12804;2;-;861;X;-;401;X;8807
Flores da Cunha;5190;-;-;1530;X;-;-;-;222
Floriano Peixoto;38896;X;-;12032;19237;1122;X;-;5430
Fontoura Xavier;25397;3;257;6380;12087;X;X;-;4020
Formigueiro;91462;64423;-;1895;23765;X;-;318;X
Forquetinha;53161;X;X;1257;672;X;-;80;49766
Fortaleza dos Valos;180804;-;5797;24911;123673;13538;X;-;11317
Frederico Westphalen;71021;11;60;27063;13557;2772;65;57;23831
Garibaldi;8077;-;X;2901;-;X;X;X;4859
Garruchos;65701;982;846;11819;41572;7966;X;-;404
Gaurama;61155;-;X;16972;27026;1916;-;-;15036
General Câmara;50166;18341;274;5842;16211;697;-;X;5181
Gentil;56088;-;876;2760;28340;1002;1112;-;20842
Getúlio Vargas;108006;-;579;25345;58569;6007;X;X;14740
Giruá;337057;X;9268;52150;193933;69344;335;-;7561
Glorinha;45146;12531;X;1285;3891;-;337;1012;21729
Gramado;7149;-;-;2413;-;-;12;113;2685
Gramado dos Loureiros;33209;2;314;8131;17647;1065;-;X;5415
Gramado Xavier;15432;2;-;3373;7746;X;-;-;754
Gravataí;19677;6350;66;493;X;-;223;3549;6202
Guabiju;53436;-;X;8981;16725;-;-;-;27400
Guaíba;24726;22762;X;56;921;-;2;X;X
Guaporé;76085;X;X;22400;11555;764;785;X;39378
Guarani das Missões;94727;-;1056;16792;36136;12121;5466;462;19189
Harmonia;10322;-;-;238;-;-;-;22;8706
Herveiras;7771;X;-;2363;336;-;-;-;2031
Horizontina;102259;-;399;42373;25126;7434;681;138;18315
Hulha Negra;61894;6092;144;4747;42173;124;128;41;5770
Humaitá;101264;X;482;17660;19553;10696;528;X;49692
Ibarama;13276;X;-;5115;1908;X;-;-;X
Ibiaçá;120928;X;3761;16092;83008;5222;387;-;11464
Ibiraiaras;137591;-;1530;20369;43354;2100;664;-;40626
Ibirapuitã;70740;X;801;2212;56713;2548;680;-;7494
Ibirubá;342361;X;19500;21946;138117;22854;6335;X;120678
Igrejinha;3293;1;-;708;69;-;20;51;755
Ijuí;279606;X;11041;9809;124836;27728;5364;45;93545
Ilópolis;10884;-;X;3734;181;-;-;-;6569
Imbé;X;-;-;-;-;-;-;-;X
Imigrante;28058;-;X;732;387;-;-;8;24817
Independência;146183;-;2034;44873;60548;18171;178;X;16400
Inhacorá;47606;X;761;11265;21338;7014;-;X;6243
Ipê;73572;X;X;15392;28284;1912;-;-;23929
Ipiranga do Sul;79404;-;851;4525;42539;4865;-;-;23540
Iraí;61407;3;110;18790;8346;1063;-;X;28563
Itaara;14600;-;183;1584;12036;94;X;80;X
Itacurubi;33623;X;317;2621;19199;1327;-;117;1092
Itapuca;31250;-;X;4230;14969;725;-;-;10577
Itaqui;653335;568466;-;16750;56117;4842;X;-;5293
Itati;5627;1;-;541;-;-;-;513;123
Itatiba do Sul;21978;X;15;11879;1791;X;-;40;5785
Ivorá;12870;170;311;2503;8246;X;X;8;37
Ivoti;7135;-;-;479;-;-;-;-;4638
Jaboticaba;54934;2;350;19223;14811;6296;320;X;11360
