"","X","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","NSPECIES","R_AMERIC"
"6",2631425,"URN:CornellLabOfOrnithology:EBIRD:OBS180799452","24:13.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Lagoa Mostardas","L1932439","P",-31.0923381,-50.9415436,2010-06-16,"","obsr252043","S12946572","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",33,1
"7",2631426,"URN:CornellLabOfOrnithology:EBIRD:OBS180799538","14:33.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Mostardas peninsula","L1932388","P",-31.1752098,-50.9820557,2010-06-14,"12:00:00","obsr252043","S12946575","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",32,1
"8",2632549,"URN:CornellLabOfOrnithology:EBIRD:OBS117344832","20:55.0",8,"species","Greater Rhea","Rhea americana","","","10","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Tavares Entrance","L683798","H",-31.3188144,-51.0895157,2011-04-29,"13:00:00","obsr115824","S8183257","Traveling","P22","EBIRD",120,2,NA,3,1,"G257373",0,1,0,NA,"","",57,1
"9",2632550,"URN:CornellLabOfOrnithology:EBIRD:OBS117143957","20:55.0",8,"species","Greater Rhea","Rhea americana","","","10","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Tavares Entrance","L683798","H",-31.3188144,-51.0895157,2011-04-29,"13:00:00","obsr119128","S8170668","Traveling","P22","EBIRD",120,2,NA,3,1,"G257373",0,1,0,NA,"","",57,1
"10",2632551,"URN:CornellLabOfOrnithology:EBIRD:OBS117753792","20:55.0",8,"species","Greater Rhea","Rhea americana","","","10","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Tavares Entrance","L683798","H",-31.3188144,-51.0895157,2011-04-29,"13:00:00","obsr265528","S8204954","Traveling","P22","EBIRD",120,2,NA,3,1,"G257373",0,1,0,NA,"","",57,1
"11",2632552,"URN:CornellLabOfOrnithology:EBIRD:OBS428953628","58:34.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN da Lagoa do Peixe","L4910215","P",-31.213215,-50.9051085,2011-04-18,"","obsr501068","S31515240","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,NA,"Lista das aves registradas no local nos dias 17 e 18 de abril de 2011.","Entorno",113,1
"12",2633629,"URN:CornellLabOfOrnithology:EBIRD:OBS180823736","12:37.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"RS101 Capivari do sul to Tavares","L1932729","P",-30.3918303,-50.4986572,2011-06-08,"","obsr252043","S12948070","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",47,1
"13",2633630,"URN:CornellLabOfOrnithology:EBIRD:OBS180823672","24:13.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2011-06-09,"","obsr252043","S12948069","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",64,1
"14",2633631,"URN:CornellLabOfOrnithology:EBIRD:OBS180823554","12:37.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Taim","L1932727","P",-32.5016547,-52.5812531,2011-06-12,"12:00:00","obsr252043","S12948065","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",45,1
"15",2634311,"URN:CornellLabOfOrnithology:EBIRD:OBS291312323","56:50.0",8,"species","Greater Rhea","Rhea americana","","","15","FL","C4","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Palamres do Sul","L3296180","P",-30.2497255,-50.4817486,2012-04-01,"","obsr419927","S21370495","Historical","P62","EBIRD",NA,NA,NA,NA,0,"G2296758",1,1,0,NA,"","",8,1
"16",2634312,"URN:CornellLabOfOrnithology:EBIRD:OBS478921466","56:50.0",8,"species","Greater Rhea","Rhea americana","","","15","FL","C4","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Palamres do Sul","L3296180","P",-30.2497255,-50.4817486,2012-04-01,"","obsr280745","S35448454","Historical","P62","EBIRD",NA,NA,NA,NA,0,"G2296758",1,1,0,NA,"","",8,1
"17",2634313,"URN:CornellLabOfOrnithology:EBIRD:OBS477431200","54:19.0",8,"species","Greater Rhea","Rhea americana","","","5","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe -- Trilha do Talha-Mar","L3738513","H",-31.2563069,-50.9828968,2012-04-02,"","obsr419927","S35336924","Historical","P62","EBIRD",NA,NA,NA,2,0,"G2296748",1,1,0,NA,"","",2,1
"18",2634314,"URN:CornellLabOfOrnithology:EBIRD:OBS478920232","54:19.0",8,"species","Greater Rhea","Rhea americana","","","5","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe -- Trilha do Talha-Mar","L3738513","H",-31.2563069,-50.9828968,2012-04-02,"","obsr280745","S35448369","Historical","P62","EBIRD",NA,NA,NA,2,0,"G2296748",1,1,0,NA,"","",2,1
"19",2634708,"URN:CornellLabOfOrnithology:EBIRD:OBS160881692","37:56.0",8,"species","Greater Rhea","Rhea americana","","","12","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Tavares Entrance","L683798","H",-31.3188144,-51.0895157,2012-07-25,"8:00:00","obsr100700","S11340195","Traveling","P22","EBIRD",600,40.234,NA,3,1,"",0,1,0,NA,"Travelled around Tavares, visiting besides Lagoa do Peixe NP, nerby areas such as the shores of Lagoa dos Patos near Tavares.","",82,1
"20",2634709,"URN:CornellLabOfOrnithology:EBIRD:OBS160878445","40:08.0",8,"species","Greater Rhea","Rhea americana","","","1","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe--Mostardas Entrance","L683785","H",-31.1137977,-50.8565712,2012-07-26,"9:00:00","obsr100700","S11339952","Traveling","P22","EBIRD",180,4.828,NA,2,1,"",0,1,0,NA,"","",39,1
"21",2636131,"URN:CornellLabOfOrnithology:EBIRD:OBS376674190","24:13.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Dunes Trail am, travel to Porto Alegre airport pm","L4305962","P",-29.993583,-51.1753705,2013-11-28,"","obsr59106","S27790988","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",69,1
"22",2636132,"URN:CornellLabOfOrnithology:EBIRD:OBS376673971","24:13.0",8,"species","Greater Rhea","Rhea americana","","","18","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe -- Trilha do Talha-Mar","L3738513","H",-31.2563069,-50.9828968,2013-11-26,"","obsr59106","S27790986","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","Eighteen were seen on the journey.",88,1
"23",2636133,"URN:CornellLabOfOrnithology:EBIRD:OBS376827982","24:13.0",8,"species","Greater Rhea","Rhea americana","","","X","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"PN Lagoa do Peixe -- Trilha do Talha-Mar","L3738513","H",-31.2563069,-50.9828968,2013-11-27,"","obsr59106","S27803294","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"","",100,1
"24",2637335,"URN:CornellLabOfOrnithology:EBIRD:OBS240451265","29:54.0",8,"species","Greater Rhea","Rhea americana","","","8","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"Mostardas -- Estrada de Caieiras","L2453998","H",-31.0572918,-50.9307289,2013-12-29,"8:24:00","obsr252322","S17497435","Traveling","P22","EBIRD",90,6.437,NA,1,1,"",0,1,0,NA,"<br />Submitted from BirdLog World for iOS, version 1.7.1","",46,1
"25",2637336,"URN:CornellLabOfOrnithology:EBIRD:OBS220901547","17:21.0",8,"species","Greater Rhea","Rhea americana","","","5","","","","Brazil","BR","Rio Grande do Sul","BR-RS",NA,NA,NA,NA,NA,NA,"BR-RS-Tavares - -31.2282x-50.9562 - Dec 10, 2013, 12:11 PM","L2463565","P",-31.2585961,-50.9793091,2013-12-09,"16:00:00","obsr252322","S15937576","Traveling","P22","EBIRD",60,3.219,NA,1,1,"",0,1,0,NA,"<br />Submitted from BirdLog World for iOS, version 1.7.1","",32,1
