X,id,MUNI,SITE,STATE,NSPECIES,NPIC,NSONG,RHAMERICANA
17321,4300034,ACEGUA,RS,RIO GRANDE DO SUL,2309,5641,72,1
17306,4300059,AGUA SANTA,RS,RIO GRANDE DO SUL,82,100,0,0
17278,4300109,AGUDO,RS,RIO GRANDE DO SUL,405,521,76,0
17242,4300208,AJURICABA,RS,RIO GRANDE DO SUL,232,242,1,0
17228,4300307,ALECRIM,RS,RIO GRANDE DO SUL,38,43,0,0
17184,4300406,ALEGRETE,RS,RIO GRANDE DO SUL,1212,1655,52,1
17166,4300471,ALMIRANTE TAMANDARE DO SUL,RS,RIO GRANDE DO SUL,233,305,35,1
17151,4300505,ALPESTRE,RS,RIO GRANDE DO SUL,67,52,27,0
17150,4300554,ALTO ALEGRE,RS,RIO GRANDE DO SUL,22,31,1,0
17143,4300570,ALTO FELIZ,RS,RIO GRANDE DO SUL,15,18,0,0
17119,4300604,ALVORADA,RS,RIO GRANDE DO SUL,170,214,9,0
17111,4300638,AMARAL FERRADOR,RS,RIO GRANDE DO SUL,51,47,13,1
17105,4300646,AMETISTA DO SUL,RS,RIO GRANDE DO SUL,60,59,2,0
17093,4300661,ANDRE DA ROCHA,RS,RIO GRANDE DO SUL,53,61,3,1
17076,4300703,ANTA GORDA,RS,RIO GRANDE DO SUL,73,73,6,0
17053,4300802,ANTONIO PRADO,RS,RIO GRANDE DO SUL,80,68,17,0
17019,4300851,ARAMBARE,RS,RIO GRANDE DO SUL,440,646,21,1
17016,4300877,ARARICA,RS,RIO GRANDE DO SUL,5,5,0,0
17012,4300901,ARATIBA,RS,RIO GRANDE DO SUL,20,6,15,0
16972,4301008,ARROIO DO MEIO,RS,RIO GRANDE DO SUL,810,1064,34,0
16914,4301073,ARROIO DO PADRE,RS,RIO GRANDE DO SUL,99,137,27,0
16930,4301057,ARROIO DO SAL,RS,RIO GRANDE DO SUL,477,581,21,0
16889,4301206,ARROIO DO TIGRE,RS,RIO GRANDE DO SUL,9,9,1,0
16895,4301107,ARROIO DOS RATOS,RS,RIO GRANDE DO SUL,95,104,12,0
16847,4301305,ARROIO GRANDE,RS,RIO GRANDE DO SUL,830,1006,87,1
16823,4301404,ARVOREZINHA,RS,RIO GRANDE DO SUL,90,98,4,0
16818,4301503,AUGUSTO PESTANA,RS,RIO GRANDE DO SUL,28,29,0,0
16816,4301552,AUREA,RS,RIO GRANDE DO SUL,2,2,0,0
16776,4301602,BAGE,RS,RIO GRANDE DO SUL,1228,2128,13,1
16746,4301636,BALNEARIO PINHAL,RS,RIO GRANDE DO SUL,131,162,3,0
16735,4301651,BARAO,RS,RIO GRANDE DO SUL,49,50,0,0
16732,4301701,BARAO DE COTEGIPE,RS,RIO GRANDE DO SUL,7,8,0,0
16727,4301750,BARAO DO TRIUNFO,RS,RIO GRANDE DO SUL,8,9,0,0
NA,NA,BARRACAO,RS,RIO GRANDE DO SUL,NA,198,5,1
16706,4301859,BARRA DO GUARITA,RS,RIO GRANDE DO SUL,7,8,0,0
16670,4301875,BARRA DO QUARAI,RS,RIO GRANDE DO SUL,1589,3793,256,1
16630,4301909,BARRA DO RIBEIRO,RS,RIO GRANDE DO SUL,381,498,9,1
16629,4301925,BARRA DO RIO AZUL,RS,RIO GRANDE DO SUL,10,9,1,0
16618,4301958,BARRA FUNDA,RS,RIO GRANDE DO SUL,56,58,2,0
16603,4302006,BARROS CASSAL,RS,RIO GRANDE DO SUL,64,71,1,1
16601,4302055,BENJAMIN CONSTANT DO SUL,RS,RIO GRANDE DO SUL,21,24,0,0
16558,4302105,BENTO GONCALVES,RS,RIO GRANDE DO SUL,558,724,15,0
16552,4302154,BOA VISTA DAS MISSOES,RS,RIO GRANDE DO SUL,12,13,0,0
16547,4302204,BOA VISTA DO BURICA,RS,RIO GRANDE DO SUL,12,15,0,0
16532,4302220,BOA VISTA DO CADEADO,RS,RIO GRANDE DO SUL,105,110,13,0
16514,4302238,BOA VISTA DO INCRA,RS,RIO GRANDE DO SUL,113,130,6,1
16475,4302303,BOM JESUS,RS,RIO GRANDE DO SUL,536,632,151,0
16436,4302352,BOM PRINCIPIO,RS,RIO GRANDE DO SUL,593,535,233,0
16433,4302378,BOM PROGRESSO,RS,RIO GRANDE DO SUL,11,11,0,0
16410,4302402,BOM RETIRO DO SUL,RS,RIO GRANDE DO SUL,108,112,4,0
